,commit,pred,prob,label,fold
0,eabd95a51c6b70b5503c7ade734fff5b34f80ff6,0,0.035,0,3
1,af74365e311eb55936049bed6efa0d2f3af1ece2,0,0.025,0,3
2,32a260ff464384e874afb80e1bb1a21a0da32143,0,0.035,0,3
3,f27c439c8d8818e61c11019d1d58b311a831c301,0,0.005,0,3
4,5a001837b4ae6ca3b55f61179577f6d1d8f38d37,0,0.045,0,3
5,4d51150a692352dbcdd4e95cfab39742f1189aa5,0,0.065,0,3
6,21c438188fe03375c600ee642afbb4d8fc7a695e,0,0.0,0,3
7,c40d7c4d37e61562919db63a93a6f07b1837a4ea,0,0.0,0,3
8,04d743f4f470f2add1f7e8987e7c876cbbc591f9,0,0.04,0,3
9,35a2c81ac41a59e330734531bd29479aa6f334ab,0,0.005,0,3
10,717ac0c7b3bdf7f0714de1d4fb1308d6b6eb53f7,0,0.015,0,3
11,48652f594150affc1848c36649e2380adbd82f94,0,0.055,0,3
12,954280893c34f560b35c3eb1c106852110d8ca27,0,0.14,0,3
13,a3de60835eb20ddc38f7635f1c0bd94b21801457,0,0.01,0,3
14,364d5912b2853210d078238e62e4989c7c4b57fa,0,0.06,0,3
15,725a2be1ef29ea7d582cf6f121819d292a338077,0,0.07,0,3
16,0c7b32a2115b0869d540ba52d90df7dd67800048,0,0.04,0,3
17,1bc33d2211b70e16360d22e13dc2924dc175fb98,0,0.055,0,3
18,2eecc96a53bb3b9da49bae03a18388d0f23853e7,0,0.16,0,3
19,8c04a90ec58a09cc4e0857ebba5bccc33ee84890,0,0.01,0,3
20,c79f82491a8bae9c3b9895f296a8519cd0dfe7ff,0,0.025,0,3
21,2c8822657daf4649f8d049955d46c2078a60d01c,0,0.025,0,3
22,9b07d9c3068b6605edd7e4be4816f5dee242481a,0,0.03,0,3
23,8f06368cd44cd7a8bf48248b3cae95fbe11b9780,0,0.035,0,3
24,fd3057092d1ac071d8df54dbe2dcac2f5b9d8a8d,0,0.05,0,3
25,fc41d6bb885a26baa57cbe4d067e8c11b8088b8a,0,0.035,0,3
26,5ba58d45d004989bb398342c46371ad421f91e23,0,0.03,0,3
27,03c16e857dee6a3441e40b33d8b008b442ccb7e3,0,0.04,0,3
28,ce9d841f792bb9403bf6a1d66bac7bc58933297b,0,0.16,0,3
29,1837ea77829fe9045deacdd51769ac6c409916ad,0,0.02,0,3
30,1c050743c9d9a048fb4e3c40912185dc712c0527,0,0.015,0,3
31,8a82d7b79b9de7edf2a7a22a7a32026d2b961662,0,0.08,0,3
32,ea47f03c4d6fba945be43d5c676075ba98b28138,0,0.325,1,3
33,8630180fffa0e8daf0369f55e9b267307c00e583,0,0.07,0,3
34,2d55e408ed626dde3e7965b5e28223280d8bb174,0,0.095,0,3
35,731a7fa4b97240b6b2c9ce405b176489b346e593,0,0.015,0,3
36,66243d10584ec892103a10b1ce4e08be7a9cdeb8,0,0.015,0,3
37,1e355cfb10fe6ea9b78e28d3917a39029191ba63,0,0.025,0,3
38,2b2eaf5af1d73c81d6be7af51d77e1af7975463e,0,0.03,0,3
39,44031666975b695fe890decf1e3e8defcdbcdba6,0,0.005,0,3
40,1275bf621965eff338b574ac74a76a4abe9ca495,0,0.035,0,3
41,07ea480752809451f7d48cf46d74723572356126,0,0.035,0,3
42,fc52f1c7f8f7f25db0ef6b79bfd70006c76ab2ef,0,0.055,0,3
43,7a532bcc011377131d7f0aa623fe0902ad337b87,0,0.065,1,3
44,64e9b7f5145b80ccb7f86cdfdbec616fb3d9c73e,0,0.04,0,3
45,3eb4be60cf00c20e46b75fb72366dd0649700c2f,0,0.055,0,3
46,6f5f99440e7117ee3bb6407e06745fff14bb2a4d,0,0.04,0,3
