,commit,pred,prob,label,fold
0,4fdbd676776c4831194f2909b102a05923fc429e,0,0.415,0,3
1,e5b07cf0ef4744da6fcb8ce497df7a20a3f02a77,0,0.01,0,3
2,c98ff85082ca15c7474934d10924f8436373a3a3,0,0.005,0,3
3,aa0d77a1778fb9a4e2a6bd519ad05d0adde6daa0,0,0.0,0,3
4,b8de0c4db9d22fc2c6ad33137a74e612717a0718,0,0.27,1,3
5,392b44b0a8d084c693207f39ce81efe7e49a6c8c,0,0.01,0,3
6,edd22d7ad556db8cdce46ff9f3a7374c052b044e,0,0.0,0,3
7,24218a5278ca3d99c209efc990d16048e29c8536,0,0.1,1,3
8,055114a7964e394a5d01cbdd43dee7ddf13ceb01,0,0.0,0,3
9,bb005b56ca0739c4c212804ba7a483c8164e78f1,0,0.155,0,3
10,eb74f8f418f9da4adb52628fe775022efc4b0467,0,0.0,0,3
11,8df36de74b34b0544b898fe888776ff43f7a760d,0,0.0,0,3
12,3a15d8cef20bdea0fd76e4a5464f9584aff9eff3,0,0.06,0,3
13,2c83cdc53782662168f74c202dc5268426218a3a,0,0.06,0,3
14,c2d6a1c1c9126e616458d9197bf080453ad658a3,0,0.0,0,3
15,f4a4464beea8118386b84bace4b08e6c16443dab,0,0.18,0,3
16,dafd0976adba45e9dde48dab40be08e7d52dfb72,0,0.295,1,3
17,7e8035a9682e6b64fa2bbb35c30e0dad08245563,0,0.0,0,3
18,173f7da3ed821c371e4369a89a53c21d529446db,0,0.24,1,3
19,9232fbae82722b02b7a2a09698945b3fe1c27112,0,0.04,0,3
20,bc877cbcf86353ec0e52ed33b26b6a3afc90a720,0,0.0,0,3
21,0d3ccbe3d2949e0b9f5e0ac79387c0def5769fe6,0,0.0,0,3
22,4006430d0fc40aa0b8d0218eaf95ac6e0d775764,0,0.005,0,3
23,4db8545921e985121330467208eaf0a10e1c9f93,0,0.0,0,3
24,0ebd188e0336ea884e46966d2b08379445901047,0,0.01,0,3
25,5eeb11e8e1d12122d18b471490aa2a9230495438,0,0.0,0,3
26,c4b72692f8be4a457fe3edee23489d903c63c208,0,0.035,0,3
27,4334cc933997adbf0d45e6a06316a2dd43dbd69e,0,0.095,0,3
28,061f50175cf7047856a934f9a827dbe6fd818334,0,0.085,0,3
29,20c09eb0baf0e2313e2581c9f3e264cbb2a67399,0,0.37,1,3
30,e4500bf42cdb76fea543519806812edf1b8a4852,0,0.015,0,3
31,71e70f86435178144697260bff16af30938a36e6,0,0.0,0,3
32,8cb2563a2c46a543517e74aff761a4481f5ebb4c,0,0.3,0,3
33,332f3909cc9e5508e688b86fc78a3ee2b26af72e,0,0.02,0,3
34,058ff00332fdb3b1e3db82db10ff8e5864ca4f02,0,0.0,0,3
35,3a9e2ce281ce979181ceb64e958040050a3002c9,0,0.0,0,3
36,88e4b16f6437817451a402cd8395e00b995def8c,0,0.08,0,3
37,4a4ec2c71cfc11390392b11f04eb8de8164abad5,0,0.01,0,3
38,081b8ca4b01e9fd82a7f35bebac23609b278aa02,0,0.0,0,3
39,037280aacd45f30a3c119950640f0c4d3841678d,0,0.01,0,3
40,b644a5861ca43b9f90e523c303c7c9ef042a8013,0,0.025,0,3
41,2e3e0829846239f4f1378a81e307ed28b11f9ecc,0,0.355,0,3
42,09a4643e101e9b42537806eea6601eb2f389f4b9,0,0.34,1,3
43,ed40ebc5cddcd50903e1052a076470a51c15de13,0,0.06,0,3
44,7a7eb1dccc02692045770de954a2c8aa8feac14d,0,0.07,0,3
45,484fc6330bd6bfaebe5df1de9ddacb7bc6ff444c,0,0.015,0,3
46,70586e476ef114613f6d3c7941fe3f2e745b4670,0,0.015,0,3
47,d381e12f997a4373acda164e60355f63c15fd0ea,0,0.025,0,3
48,f5f8956448ee8beedbd2189f1a5cf350b6e7754e,0,0.23,0,3
49,90348084116486f69fe334b2d21a61f7f400722e,0,0.145,0,3
50,fdd038890a01550eb59ea8df64c4d81ec2749e46,0,0.2,0,3
51,018daf4d96db0d0c5e9fd2ddf19a9f902d497e69,0,0.075,0,3
52,4e13f9660ba3efceafe34d04be5c27643a74cabd,0,0.19,0,3
53,81e8b4f0d1c7dc174f7bbceac6c0478f8c3859fd,0,0.185,0,3
54,1bb6d2ad6b47b8c093cf918b69ea737820b53c9d,0,0.03,0,3
55,11a792efbe09df98f2bb4d2830cb75d28c2ad65c,0,0.025,0,3
56,21c37897f0ebfac2d3607a43e2b05134e82715d3,0,0.25,0,3
57,5256967cf74c142d9630a33d6a735c3c2e931443,0,0.315,0,3
58,57c45aca3df1cca64fcbe8f60803302a8f454a8b,0,0.02,0,3
